customer_id,signup_date,country,acquisition_channel
145,2023-07-18,UK,Organic
146,2022-04-06,UK,LinkedIn
147,2023-04-30,UK,LinkedIn
148,2023-02-11,France,Organic
149,2022-08-19,Canada,Referral
150,2023-10-17,Germany,Referral
151,2022-06-20,USA,LinkedIn
152,2023-06-25,Germany,Google Ads
153,2022-02-05,Canada,Google Ads
154,2023-06-09,Germany,LinkedIn
155,2022-06-09,France,Google Ads
156,2023-11-30,UK,Google Ads
157,2022-08-31,Canada,Google Ads
158,2022-03-27,Canada,LinkedIn
159,2023-08-01,Germany,Google Ads
160,2023-11-13,France,LinkedIn
161,2023-07-11,Germany,Google Ads
162,2023-07-28,Germany,Referral
163,2023-10-08,Canada,Referral
164,2022-01-28,Germany,LinkedIn
165,2023-09-12,UK,Google Ads
166,2023-07-10,Germany,Organic
167,2022-12-06,UK,Organic
168,2022-11-27,Canada,Organic
169,2023-10-02,France,Organic
170,2023-05-21,UK,Referral
171,2022-12-14,France,Referral
172,2023-04-18,France,LinkedIn
173,2022-08-19,UK,LinkedIn
174,2022-07-09,Canada,Organic
175,2022-08-13,USA,LinkedIn
176,2023-01-20,France,Organic
177,2023-01-12,France,Google Ads
178,2022-10-10,Canada,Organic
179,2023-09-25,Canada,LinkedIn
180,2023-09-20,Germany,LinkedIn
181,2022-09-16,Canada,Google Ads
182,2022-12-25,France,LinkedIn
183,2023-12-11,UK,Organic
184,2023-04-01,USA,Google Ads
185,2023-02-15,Germany,LinkedIn
186,2023-10-11,UK,Google Ads
187,2022-11-14,USA,Organic
188,2023-11-08,USA,Referral
189,2022-08-13,USA,Google Ads
190,2022-08-22,UK,Google Ads
191,2023-11-15,Germany,LinkedIn
192,2023-10-26,Germany,Google Ads
193,2023-01-09,USA,LinkedIn
194,2023-11-03,UK,Organic
195,2023-08-31,USA,Organic
196,2023-04-17,Canada,Google Ads
197,2022-08-21,Germany,Organic
198,2023-11-23,France,LinkedIn
199,2022-04-23,USA,Google Ads
200,2023-05-12,Canada,Google Ads
201,2023-03-18,Germany,Google Ads
202,2023-07-18,UK,Organic
203,2022-09-25,Germany,Google Ads
204,2023-05-25,UK,Google Ads
205,2023-01-21,UK,LinkedIn
206,2023-01-22,USA,Referral
207,2022-04-23,USA,LinkedIn
208,2023-09-05,Germany,LinkedIn
209,2023-09-17,Canada,Google Ads
210,2022-03-22,Germany,Organic
211,2023-11-30,France,Google Ads
212,2022-04-23,UK,Referral
213,2022-01-02,UK,LinkedIn
214,2023-10-04,USA,Google Ads
215,2022-08-08,Canada,Organic
216,2023-07-20,USA,Referral
217,2022-08-13,France,Google Ads
218,2023-01-20,Germany,Organic
219,2023-02-07,Germany,Referral
220,2023-09-30,Canada,LinkedIn
221,2022-05-10,USA,Referral
222,2022-02-22,USA,Organic
223,2023-11-15,France,Google Ads
224,2023-12-31,Germany,Google Ads
225,2023-11-03,USA,Referral
226,2023-12-11,Canada,Google Ads
227,2023-02-20,Germany,LinkedIn
228,2022-09-04,France,Google Ads
229,2023-03-15,Canada,Google Ads
230,2022-07-22,UK,Google Ads
231,2022-07-03,France,LinkedIn
232,2022-05-03,Canada,Organic
233,2023-02-05,USA,Google Ads
234,2022-10-21,UK,Referral
235,2022-10-07,France,Google Ads
236,2023-09-02,USA,LinkedIn
237,2022-07-17,UK,Google Ads
238,2023-05-26,Germany,Referral
239,2022-05-24,USA,LinkedIn
240,2023-09-01,Canada,Organic
241,2022-07-20,France,Google Ads
242,2022-05-04,UK,LinkedIn
243,2022-07-06,USA,Referral
244,2022-11-22,Germany,Organic
245,2023-04-09,France,Google Ads
246,2022-12-15,France,Google Ads
247,2023-10-22,USA,Organic
248,2023-02-07,Germany,Google Ads
249,2022-12-12,UK,Google Ads
250,2023-05-26,USA,Google Ads
251,2022-05-27,UK,Organic
252,2022-05-28,France,Google Ads
253,2023-12-12,UK,Organic
254,2023-05-04,Germany,Referral
255,2023-10-02,Canada,Google Ads
256,2023-07-05,Germany,Referral
257,2022-12-04,UK,Google Ads
258,2023-10-03,USA,LinkedIn
259,2023-04-18,France,LinkedIn
260,2022-05-31,Canada,Referral
261,2023-02-19,USA,Google Ads
262,2022-10-25,USA,LinkedIn
263,2023-09-03,Germany,Organic
264,2022-09-20,UK,LinkedIn
265,2022-05-24,Germany,Organic
266,2022-12-12,UK,Google Ads
267,2023-09-16,Germany,Organic
268,2023-07-26,USA,Google Ads
269,2022-01-02,France,Google Ads
270,2022-10-31,UK,Organic
271,2022-09-11,Canada,Organic
272,2023-10-14,Canada,LinkedIn
273,2023-03-29,USA,Google Ads
274,2022-02-06,Germany,Google Ads
275,2022-06-09,Germany,Referral
276,2022-01-09,USA,Organic
277,2022-08-21,Canada,Google Ads
278,2022-04-09,Canada,Organic
279,2023-10-21,Germany,Google Ads
280,2022-07-27,UK,Organic
281,2022-05-11,France,Organic
282,2023-02-08,UK,Referral
283,2022-06-01,Canada,Google Ads
284,2022-02-23,UK,Organic
285,2022-04-30,France,Referral
286,2023-11-04,UK,LinkedIn
287,2023-09-20,UK,LinkedIn
288,2023-08-10,UK,Google Ads
289,2023-09-17,UK,Organic
290,2023-02-24,USA,Google Ads
291,2023-02-26,Canada,Organic
292,2022-04-14,France,Google Ads
293,2022-09-11,Canada,LinkedIn
294,2022-08-15,USA,Google Ads
295,2022-04-22,USA,Google Ads
296,2023-05-25,USA,Google Ads
297,2023-04-18,USA,LinkedIn
298,2022-04-09,UK,Referral
299,2022-06-02,Canada,Organic
300,2022-12-04,Germany,Google Ads
301,2023-12-07,France,LinkedIn
302,2022-06-12,USA,LinkedIn
303,2023-12-21,Canada,Google Ads
304,2023-11-12,USA,Referral
305,2022-06-10,USA,Referral
306,2023-08-03,USA,Google Ads
307,2023-02-02,USA,Google Ads
308,2022-10-04,USA,LinkedIn
309,2023-05-19,France,Google Ads
310,2023-01-27,Canada,LinkedIn
311,2022-05-15,USA,Organic
312,2022-07-14,USA,Referral
313,2023-02-05,USA,LinkedIn
314,2023-10-02,USA,Google Ads
315,2022-02-02,UK,Organic
316,2023-11-19,UK,Google Ads
317,2023-04-05,Germany,LinkedIn
318,2023-04-15,USA,Organic
319,2023-01-10,Germany,Referral
320,2022-01-22,France,LinkedIn
321,2023-11-01,Germany,Referral
322,2022-02-07,Canada,Google Ads
323,2022-08-18,UK,LinkedIn
324,2022-12-31,UK,Google Ads
325,2023-07-17,USA,LinkedIn
326,2023-03-14,USA,Google Ads
327,2022-10-10,France,Organic
328,2022-01-27,France,Google Ads
329,2022-08-14,Canada,Referral
330,2022-10-04,USA,Referral
331,2023-09-01,USA,Referral
332,2022-10-11,France,Google Ads
333,2023-04-26,France,Referral
334,2023-03-29,France,Google Ads
335,2023-10-21,UK,Referral
336,2023-05-31,Germany,Google Ads
337,2023-07-01,Germany,Referral
338,2022-07-11,USA,Google Ads
339,2022-02-18,UK,Organic
340,2023-05-27,France,Referral
341,2022-01-17,USA,Google Ads
342,2022-06-21,UK,Referral
343,2022-08-08,Canada,Organic
344,2022-06-07,UK,Google Ads
345,2023-04-22,USA,LinkedIn
346,2022-02-15,Germany,Referral
347,2023-01-08,France,Google Ads
348,2023-06-02,Canada,Organic
349,2022-04-09,UK,Google Ads
350,2022-02-06,USA,Google Ads
351,2022-10-07,USA,Organic
352,2022-12-15,France,LinkedIn
353,2023-05-12,USA,Organic
354,2022-10-29,USA,LinkedIn
355,2022-06-30,France,LinkedIn
356,2023-08-30,Canada,Organic
357,2022-04-09,Germany,Google Ads
358,2023-12-01,Germany,LinkedIn
359,2022-04-26,UK,LinkedIn
360,2022-07-10,Canada,Google Ads
361,2022-09-10,UK,Referral
362,2022-06-10,Germany,Google Ads
363,2022-09-13,France,LinkedIn
364,2022-11-19,USA,Referral
365,2022-05-08,Germany,Organic
366,2022-01-18,Canada,Google Ads
367,2023-07-20,Germany,LinkedIn
368,2023-07-24,Canada,Google Ads
369,2022-11-19,Canada,LinkedIn
370,2023-11-17,Canada,LinkedIn
371,2023-09-18,UK,LinkedIn
372,2022-10-15,France,Organic
373,2023-10-25,Germany,Organic
374,2023-10-01,France,Google Ads
375,2022-06-04,USA,Google Ads
376,2023-05-05,Germany,LinkedIn
377,2023-01-21,France,Referral
378,2022-04-14,France,Google Ads
379,2023-01-28,USA,Referral
380,2022-09-03,Canada,Referral
381,2022-06-25,Germany,Google Ads
382,2022-02-08,Germany,Organic
383,2023-04-22,USA,Referral
384,2023-11-13,Canada,Google Ads
385,2023-06-22,Germany,Google Ads
386,2023-02-12,Germany,Organic
387,2023-06-09,Germany,Organic
388,2023-05-21,Canada,LinkedIn
389,2022-02-05,USA,Google Ads
390,2023-11-16,Germany,Organic
391,2022-01-20,France,LinkedIn
392,2022-11-17,Canada,Organic
393,2023-05-27,UK,LinkedIn
394,2023-02-04,USA,Google Ads
395,2023-10-16,France,Referral
396,2023-04-16,Germany,Google Ads
397,2022-05-23,UK,Google Ads
398,2022-04-02,USA,LinkedIn
399,2022-12-20,Canada,Organic
400,2023-12-28,UK,LinkedIn
401,2022-02-20,UK,Referral
402,2023-10-27,France,Google Ads
403,2023-11-29,USA,Google Ads
404,2023-07-29,France,Google Ads
405,2022-07-09,France,Referral
406,2022-05-05,Germany,LinkedIn
407,2022-05-30,Canada,Google Ads
408,2022-11-10,UK,Organic
409,2023-07-24,USA,Google Ads
410,2022-12-08,Canada,Organic
411,2022-11-01,Canada,Referral
412,2023-11-23,USA,Google Ads
413,2023-11-13,Canada,LinkedIn
414,2022-02-23,Germany,LinkedIn
415,2023-03-20,Canada,Referral
416,2023-09-05,Germany,Referral
417,2022-09-21,UK,Google Ads
418,2022-02-22,UK,LinkedIn
419,2023-07-26,France,Organic
420,2023-09-12,Germany,Google Ads
421,2022-01-05,UK,Google Ads
422,2022-04-13,Canada,Organic
423,2022-07-15,USA,Google Ads
424,2022-12-16,USA,LinkedIn
425,2022-02-16,Germany,Referral
426,2023-10-18,France,Referral
427,2022-09-26,Canada,Referral
428,2023-01-05,Germany,Google Ads
429,2023-09-28,USA,Google Ads
430,2022-04-16,Germany,LinkedIn
431,2023-11-01,Canada,LinkedIn
432,2023-10-21,UK,LinkedIn
433,2023-10-19,Canada,LinkedIn
434,2022-04-30,UK,Google Ads
435,2023-08-27,UK,Google Ads
436,2022-02-27,UK,Organic
437,2022-12-12,Germany,Referral
438,2023-04-19,USA,Google Ads
439,2022-04-27,Germany,Google Ads
440,2022-05-07,USA,Google Ads
441,2023-01-28,Canada,Google Ads
442,2023-10-03,France,Organic
443,2022-02-27,Canada,Organic
444,2023-09-26,Germany,Organic
445,2023-05-28,Germany,Organic
446,2022-04-06,USA,Organic
447,2023-09-30,Germany,Referral
448,2022-04-28,UK,Google Ads
449,2023-07-14,Germany,LinkedIn
450,2023-08-24,USA,Google Ads
451,2023-05-03,USA,Google Ads
452,2022-08-25,UK,Google Ads
453,2022-09-29,USA,Referral
454,2022-07-08,France,Google Ads
455,2023-12-05,Canada,Google Ads
456,2023-03-23,Germany,Referral
457,2023-08-04,France,Organic
458,2022-09-04,Germany,Referral
459,2022-03-17,France,Organic
460,2022-06-03,Germany,Google Ads
461,2023-10-18,UK,Google Ads
462,2023-03-11,USA,Referral
463,2022-03-27,USA,Referral
464,2023-11-28,UK,LinkedIn
465,2022-10-12,France,LinkedIn
466,2022-08-08,Canada,LinkedIn
467,2022-03-10,France,Organic
468,2022-02-16,USA,Google Ads
469,2022-04-04,Canada,Google Ads
470,2023-03-29,Germany,Referral
471,2022-07-23,Canada,Google Ads
472,2022-08-06,France,Google Ads
473,2023-04-19,UK,Google Ads
474,2023-03-08,Germany,Google Ads
475,2022-12-07,France,Google Ads
476,2023-07-05,Germany,Google Ads
477,2023-09-04,Canada,LinkedIn
478,2022-10-16,USA,LinkedIn
479,2022-09-11,France,LinkedIn
480,2022-12-23,UK,LinkedIn
481,2022-01-23,Canada,Google Ads
482,2023-06-06,France,Google Ads
483,2022-04-10,UK,Google Ads
484,2022-06-29,France,Organic
485,2022-08-11,Canada,LinkedIn
486,2023-10-21,France,Google Ads
487,2023-03-18,Germany,Google Ads
488,2023-08-31,Canada,Organic
489,2022-11-21,France,Referral
490,2023-05-31,USA,Organic
491,2022-01-16,France,Google Ads
492,2022-12-02,Germany,Google Ads
493,2022-09-15,UK,LinkedIn
494,2023-05-12,UK,LinkedIn
495,2022-06-09,UK,LinkedIn
496,2023-04-20,USA,Referral
497,2023-10-26,Germany,Referral
498,2023-11-21,Canada,LinkedIn
499,2023-11-06,UK,Google Ads
500,2023-01-15,Germany,Google Ads
501,2023-06-29,France,Organic
502,2023-11-22,USA,Google Ads
503,2023-03-03,Germany,Referral
504,2023-09-05,Germany,LinkedIn
505,2022-09-25,Canada,Organic
506,2023-07-31,Germany,Referral
507,2023-02-21,Canada,Referral
508,2022-06-17,USA,Organic
509,2022-02-12,USA,Organic
510,2023-07-10,France,LinkedIn
511,2022-10-12,Canada,Referral
512,2023-02-01,Canada,Google Ads
513,2022-01-12,UK,LinkedIn
514,2023-08-30,UK,Organic
515,2022-10-29,France,Organic
516,2022-09-10,USA,Google Ads
517,2023-05-14,UK,Referral
518,2022-02-04,Germany,Referral
519,2023-12-28,USA,Organic
520,2022-03-31,Germany,LinkedIn
521,2023-08-28,Canada,Referral
522,2023-08-25,USA,Google Ads
523,2023-02-22,France,Referral
524,2022-04-25,Canada,Google Ads
525,2023-09-09,Canada,Organic
526,2022-07-15,Germany,LinkedIn
527,2023-05-16,Canada,Referral
528,2023-09-18,UK,Referral
529,2023-05-08,USA,Organic
530,2022-03-16,UK,Google Ads
531,2023-02-17,Germany,Google Ads
532,2023-01-11,Germany,Organic
533,2023-02-24,USA,Organic
534,2023-12-30,Canada,Organic
535,2022-10-04,France,Google Ads
536,2023-11-07,Germany,Google Ads
537,2023-01-29,USA,Google Ads
538,2023-04-02,France,Google Ads
539,2022-07-11,Canada,LinkedIn
540,2023-11-20,Germany,Google Ads
541,2022-04-09,USA,LinkedIn
542,2023-07-02,USA,Google Ads
543,2022-04-06,USA,Google Ads
544,2023-10-26,Germany,Organic
545,2023-10-25,France,Google Ads
546,2022-07-09,USA,Google Ads
547,2022-02-06,Canada,Google Ads
548,2023-01-04,USA,Google Ads
549,2023-11-26,France,Referral
550,2023-06-09,Germany,Google Ads
551,2022-10-06,USA,LinkedIn
552,2022-08-05,USA,Organic
553,2022-09-30,Canada,Referral
554,2022-03-03,Canada,Google Ads
555,2023-08-19,USA,LinkedIn
556,2023-12-30,USA,Google Ads
557,2022-12-08,Canada,LinkedIn
558,2023-02-01,France,LinkedIn
559,2023-11-30,UK,Google Ads
560,2022-01-19,UK,Organic
561,2022-06-26,USA,Organic
562,2023-09-04,Canada,Organic
563,2023-01-31,Germany,Google Ads
564,2023-03-21,Germany,Referral
565,2022-08-21,UK,Organic
566,2022-03-17,France,Google Ads
567,2022-09-22,UK,Organic
568,2023-03-31,USA,Google Ads
569,2023-12-19,France,Google Ads
570,2023-01-19,Germany,LinkedIn
571,2023-07-18,Canada,LinkedIn
572,2023-05-21,Canada,LinkedIn
573,2023-01-02,USA,Organic
574,2022-05-24,UK,Google Ads
575,2022-03-10,USA,Google Ads
576,2022-04-09,Canada,Organic
577,2023-01-31,Germany,Google Ads
578,2022-01-25,Canada,LinkedIn
579,2023-04-14,France,Referral
580,2023-04-29,Canada,Google Ads
581,2023-07-19,Canada,Google Ads
582,2022-05-31,France,Referral
583,2022-05-24,UK,Organic
584,2023-07-23,Canada,LinkedIn
585,2022-02-08,USA,LinkedIn
586,2022-04-19,Canada,Referral
587,2023-11-24,USA,Google Ads
588,2022-02-11,France,Google Ads
589,2022-07-05,Canada,Referral
590,2023-02-02,France,Google Ads
591,2022-08-11,France,Google Ads
592,2023-09-26,UK,Referral
593,2022-05-13,Canada,Referral
594,2022-06-12,USA,Google Ads
595,2022-08-03,USA,Referral
596,2022-08-23,Canada,Referral
597,2023-10-20,UK,Google Ads
598,2023-08-11,UK,Organic
599,2022-01-09,UK,Google Ads
600,2022-03-15,USA,Organic
601,2023-05-07,France,Google Ads
602,2022-09-10,UK,Organic
603,2022-08-18,USA,Google Ads
604,2023-06-03,USA,LinkedIn
605,2022-06-23,France,Google Ads
606,2023-10-15,Canada,LinkedIn
607,2022-06-17,Canada,Referral
608,2022-06-19,UK,Google Ads
609,2023-01-28,UK,LinkedIn
610,2023-09-26,France,Google Ads
611,2022-07-13,UK,Organic
612,2023-06-01,France,Google Ads
613,2022-01-29,USA,Referral
614,2022-06-14,UK,LinkedIn
615,2023-02-26,USA,Google Ads
616,2022-12-05,Germany,Google Ads
617,2023-10-10,France,LinkedIn
618,2023-05-11,Germany,LinkedIn
619,2022-12-31,UK,Organic
620,2022-12-08,USA,Google Ads
621,2023-05-15,UK,Referral
622,2023-10-19,Germany,Google Ads
623,2023-05-26,UK,Google Ads
624,2022-11-23,Canada,LinkedIn
625,2022-08-05,Germany,Google Ads
626,2022-10-28,UK,Referral
627,2022-05-12,USA,Referral
628,2022-03-11,UK,LinkedIn
629,2022-09-09,USA,Organic
630,2023-02-19,Canada,LinkedIn
631,2023-03-21,UK,Referral
632,2022-07-01,Canada,LinkedIn
633,2022-06-16,Germany,LinkedIn
634,2022-04-01,USA,Google Ads
635,2023-12-15,Germany,Google Ads
636,2023-06-15,USA,Google Ads
637,2022-02-08,Canada,Referral
638,2022-05-06,France,Organic
639,2023-03-27,UK,Google Ads
640,2022-06-22,Canada,Google Ads
641,2023-10-15,USA,Organic
642,2022-08-08,USA,Organic
643,2023-09-30,USA,LinkedIn
644,2022-02-27,USA,Google Ads
645,2023-10-22,UK,Google Ads
646,2023-04-21,Germany,Google Ads
647,2023-04-01,France,Google Ads
648,2022-12-27,UK,Google Ads
649,2022-01-01,USA,Referral
650,2023-01-22,UK,Google Ads
651,2022-12-14,Canada,Google Ads
652,2022-07-09,USA,Google Ads
653,2023-05-20,France,LinkedIn
654,2022-07-10,USA,LinkedIn
655,2023-05-23,France,Referral
656,2023-01-04,France,Google Ads
657,2023-02-13,Germany,Google Ads
658,2022-04-27,Germany,Google Ads
659,2022-05-14,UK,Google Ads
660,2022-02-27,UK,Organic
661,2023-07-10,France,Organic
662,2023-11-16,USA,LinkedIn
663,2023-11-03,Canada,Organic
664,2022-06-22,Canada,LinkedIn
665,2022-05-29,USA,Google Ads
666,2022-03-21,USA,Organic
667,2022-08-01,Germany,Google Ads
668,2022-07-22,Canada,LinkedIn
669,2022-08-17,France,Google Ads
670,2023-11-07,UK,Google Ads
671,2022-08-15,Germany,LinkedIn
672,2023-10-21,Canada,Referral
673,2023-06-16,USA,Google Ads
674,2023-03-17,Canada,Google Ads
675,2023-02-06,France,Google Ads
676,2022-02-16,Germany,Organic
677,2022-08-21,USA,LinkedIn
678,2022-11-01,France,Referral
679,2023-06-10,UK,Google Ads
680,2022-05-23,Germany,Organic
681,2023-02-19,France,Google Ads
682,2023-05-28,France,Google Ads
683,2023-01-08,USA,Google Ads
684,2023-07-20,UK,Organic
685,2022-09-16,France,Google Ads
686,2023-10-18,Germany,Google Ads
687,2023-04-16,France,Referral
688,2022-01-12,Canada,Google Ads
689,2022-11-26,Germany,Referral
690,2022-12-24,Germany,Referral
691,2023-02-12,France,Referral
692,2023-10-30,USA,Google Ads
693,2023-01-08,Germany,Google Ads
694,2022-01-08,Canada,Organic
695,2022-05-02,USA,Organic
696,2022-12-14,USA,Google Ads
697,2023-11-07,USA,Google Ads
698,2022-03-31,Germany,Google Ads
699,2023-10-10,USA,LinkedIn
700,2023-11-29,France,LinkedIn
701,2022-11-12,USA,Google Ads
702,2022-06-27,Canada,LinkedIn
703,2023-06-24,UK,LinkedIn
704,2022-02-10,Canada,Organic
705,2023-12-05,Germany,Google Ads
706,2023-05-17,USA,Google Ads
707,2022-05-25,USA,Google Ads
708,2022-07-20,France,Organic
709,2023-12-25,USA,LinkedIn
710,2023-04-06,Canada,Referral
711,2023-07-12,Germany,Google Ads
712,2023-07-01,UK,Google Ads
713,2022-09-10,USA,Google Ads
714,2023-01-25,UK,Referral
715,2023-08-17,USA,Google Ads
716,2022-09-13,Germany,Google Ads
717,2023-12-10,Canada,LinkedIn
718,2023-03-26,Germany,Google Ads
719,2022-01-10,UK,Referral
720,2022-08-30,USA,Google Ads
721,2022-09-08,UK,Organic
722,2022-01-05,Canada,Referral
723,2022-04-29,Germany,Organic
724,2023-01-09,UK,Referral
725,2022-03-06,UK,Organic
726,2022-05-26,Canada,Organic
727,2022-08-12,USA,Referral
728,2022-08-27,UK,Organic
729,2022-06-26,Canada,Google Ads
730,2022-10-09,USA,Google Ads
731,2022-03-04,USA,Google Ads
732,2022-08-05,Germany,Referral
733,2023-11-20,Canada,LinkedIn
734,2023-04-06,USA,LinkedIn
735,2023-09-02,Germany,Google Ads
736,2022-04-15,France,Referral
737,2022-04-09,Canada,Google Ads
738,2023-05-26,France,LinkedIn
739,2023-01-20,USA,Google Ads
740,2023-02-09,Canada,Organic
741,2023-06-02,Germany,Google Ads
742,2023-04-21,USA,Google Ads
743,2023-12-10,Canada,Organic
744,2023-10-07,Canada,Referral
745,2023-03-13,France,Google Ads
746,2022-01-23,USA,Referral
747,2023-07-19,Germany,Google Ads
748,2023-11-08,Germany,Organic
749,2023-12-15,USA,Referral
750,2023-04-03,USA,Google Ads
751,2022-03-24,UK,Referral
752,2022-05-25,France,Google Ads
753,2022-03-26,USA,LinkedIn
754,2022-03-19,USA,Organic
755,2023-04-02,UK,Organic
756,2022-01-01,UK,Google Ads
757,2022-02-20,Canada,Google Ads
758,2023-11-16,Germany,Google Ads
759,2023-12-18,France,LinkedIn
760,2023-03-22,Canada,Referral
761,2023-03-25,USA,Referral
762,2023-05-03,UK,Organic
763,2022-02-03,Germany,Google Ads
764,2022-12-14,Canada,Google Ads
765,2022-04-05,Germany,Google Ads
766,2022-03-13,UK,Google Ads
767,2023-07-05,Canada,Google Ads
768,2022-06-03,Canada,Referral
769,2022-09-07,Germany,Google Ads
770,2023-11-05,UK,Google Ads
771,2023-03-14,USA,LinkedIn
772,2022-04-28,Canada,Google Ads
773,2022-11-02,USA,LinkedIn
774,2022-09-25,UK,Google Ads
775,2022-02-23,Canada,Referral
776,2022-08-24,Canada,Organic
777,2023-01-24,USA,Google Ads
778,2023-02-05,France,Referral
779,2023-09-16,USA,Organic
780,2022-10-30,USA,Referral
781,2022-07-26,France,Google Ads
782,2022-08-17,UK,Google Ads
783,2023-08-01,UK,LinkedIn
784,2022-03-16,Canada,Organic
785,2023-03-11,Germany,Google Ads
786,2022-04-13,Germany,Google Ads
787,2023-02-26,Canada,Google Ads
788,2023-12-05,Germany,Google Ads
789,2022-11-02,USA,Google Ads
790,2022-04-08,USA,Google Ads
791,2022-12-01,France,Google Ads
