customer_id,signup_date,country,acquisition_channel,revenue_each_customer,unsolved_issues,plan_type,monthly_fee,start_date,churn_date,churned,risk_score
25,2022-07-11,USA,Google Ads,299.9,0.0,Premium,99.99,2022-07-11,,False,high
26,2022-10-04,UK,Organic,299.9,0.0,Basic,29.99,2022-10-04,,False,high
27,2022-06-10,USA,LinkedIn,299.9,1.0,Basic,29.99,2022-06-10,,False,high
28,2023-04-05,UK,Organic,299.9,1.0,Basic,29.99,2023-04-05,2024-01-01,True,high
29,2022-11-10,UK,LinkedIn,299.9,0.0,Pro,59.99,2022-11-10,2024-02-20,True,high
30,2022-01-22,USA,Referral,299.9,0.0,Premium,99.99,2022-01-22,,False,high
31,2022-09-10,UK,LinkedIn,299.9,0.0,Basic,29.99,2022-09-10,,False,high
32,2023-07-15,France,Organic,959.84,0.0,Premium,99.99,2023-07-15,,False,medium
33,2023-04-20,Canada,LinkedIn,959.84,0.0,Pro,59.99,2023-04-20,,False,medium
34,2022-02-28,Germany,LinkedIn,959.84,0.0,Basic,29.99,2022-02-28,,False,medium
35,2023-05-26,UK,Organic,959.84,0.0,Pro,59.99,2023-05-26,,False,medium
36,2023-11-13,UK,Google Ads,959.84,0.0,Basic,29.99,2023-11-13,,False,medium
37,2023-04-21,Germany,LinkedIn,959.84,0.0,Premium,99.99,2023-04-21,,False,medium
38,2023-12-01,UK,Organic,959.84,2.0,Basic,29.99,2023-12-01,2024-11-19,True,medium
39,2022-07-09,Germany,Organic,959.84,2.0,Basic,29.99,2022-07-09,,False,medium
40,2023-11-18,USA,Google Ads,959.84,2.0,Basic,29.99,2023-11-18,2024-08-19,True,medium
41,2023-07-17,France,Referral,959.84,0.0,Pro,59.99,2023-07-17,,False,medium
42,2023-07-21,France,LinkedIn,959.84,0.0,Basic,29.99,2023-07-21,,False,medium
43,2022-09-01,Canada,Google Ads,959.84,0.0,Basic,29.99,2022-09-01,,False,medium
44,2023-05-20,UK,LinkedIn,959.84,0.0,Basic,29.99,2023-05-20,,False,medium
45,2022-05-11,Canada,Google Ads,959.84,0.0,Basic,29.99,2022-05-11,,False,medium
46,2023-04-30,USA,Google Ads,959.84,0.0,Pro,59.99,2023-04-30,,False,medium
47,2023-10-09,France,Referral,959.84,0.0,Basic,29.99,2023-10-09,,False,medium
48,2022-01-21,USA,Referral,629.79,0.0,Pro,59.99,2022-01-21,2022-06-05,True,medium
49,2022-06-16,USA,Referral,629.79,0.0,Basic,29.99,2022-06-16,,False,medium
50,2022-10-01,UK,Referral,629.79,0.0,Basic,29.99,2022-10-01,2023-03-05,True,medium
51,2023-01-23,USA,Google Ads,629.79,0.0,Premium,99.99,2023-01-23,,False,medium
52,2023-08-24,France,Google Ads,629.79,0.0,Basic,29.99,2023-08-24,,False,medium
53,2022-11-12,Canada,Google Ads,629.79,0.0,Pro,59.99,2022-11-12,,False,medium
54,2022-01-14,France,Google Ads,629.79,0.0,Basic,29.99,2022-01-14,,False,medium
55,2022-08-30,UK,Referral,629.79,0.0,Pro,59.99,2022-08-30,,False,medium
56,2022-12-12,France,LinkedIn,629.79,0.0,Pro,59.99,2022-12-12,,False,medium
57,2023-07-19,Germany,Google Ads,629.79,1.0,Basic,29.99,2023-07-19,,False,medium
58,2022-12-06,Canada,Google Ads,629.79,0.0,Premium,99.99,2022-12-06,,False,medium
59,2022-04-02,Germany,LinkedIn,629.79,0.0,Pro,59.99,2022-04-02,,False,medium
60,2023-01-02,Germany,Google Ads,629.79,0.0,Basic,29.99,2023-01-02,,False,medium
61,2023-03-31,UK,Organic,629.79,0.0,Pro,59.99,2023-03-31,,False,medium
62,2023-03-04,USA,LinkedIn,629.79,0.0,Basic,29.99,2023-03-04,,False,medium
63,2023-05-24,Germany,Google Ads,629.79,0.0,Basic,29.99,2023-05-24,2024-04-19,True,medium
64,2022-02-04,France,Google Ads,629.79,0.0,Basic,29.99,2022-02-04,,False,medium
65,2022-07-25,USA,Referral,629.79,0.0,Basic,29.99,2022-07-25,,False,medium
66,2022-03-22,France,Google Ads,629.79,1.0,Pro,59.99,2022-03-22,,False,medium
67,2023-07-16,France,Google Ads,629.79,1.0,Basic,29.99,2023-07-16,,False,medium
68,2023-01-23,USA,Google Ads,629.79,0.0,Basic,29.99,2023-01-23,,False,medium
69,2022-01-02,USA,LinkedIn,2199.7799999999997,1.0,Premium,99.99,2022-01-02,,False,low
70,2023-01-25,France,Referral,2199.7799999999997,0.0,Pro,59.99,2023-01-25,,False,low
71,2023-07-20,UK,Google Ads,2199.7799999999997,0.0,Basic,29.99,2023-07-20,2024-10-10,True,low
72,2022-04-16,Canada,LinkedIn,2199.7799999999997,0.0,Pro,59.99,2022-04-16,,False,low
73,2023-04-22,Canada,Referral,2199.7799999999997,0.0,Basic,29.99,2023-04-22,,False,low
74,2023-12-04,UK,Referral,2199.7799999999997,0.0,Basic,29.99,2023-12-04,2024-04-04,True,low
75,2023-02-06,USA,Google Ads,2199.7799999999997,0.0,Premium,99.99,2023-02-06,,False,low
76,2023-12-31,France,Referral,2199.7799999999997,0.0,Basic,29.99,2023-12-31,,False,low
77,2023-07-10,Canada,Organic,2199.7799999999997,0.0,Premium,99.99,2023-07-10,,False,low
78,2022-06-11,France,Google Ads,2199.7799999999997,1.0,Pro,59.99,2022-06-11,,False,low
79,2022-07-21,UK,Google Ads,2199.7799999999997,1.0,Basic,29.99,2022-07-21,,False,low
80,2022-09-27,France,Google Ads,2199.7799999999997,1.0,Basic,29.99,2022-09-27,,False,low
81,2022-09-28,UK,Google Ads,2199.7799999999997,0.0,Premium,99.99,2022-09-28,,False,low
82,2023-04-01,USA,Google Ads,2199.7799999999997,0.0,Basic,29.99,2023-04-01,,False,low
83,2023-04-07,UK,Organic,2199.7799999999997,0.0,Basic,29.99,2023-04-07,,False,low
84,2023-12-28,UK,Organic,2199.7799999999997,0.0,Pro,59.99,2023-12-28,2024-06-17,True,low
85,2022-09-09,Canada,Google Ads,2199.7799999999997,0.0,Basic,29.99,2022-09-09,2023-01-09,True,low
86,2023-12-03,France,Referral,2199.7799999999997,2.0,Premium,99.99,2023-12-03,,False,low
87,2022-10-23,Canada,LinkedIn,2199.7799999999997,2.0,Premium,99.99,2022-10-23,,False,low
88,2023-12-26,Germany,Referral,2199.7799999999997,0.0,Pro,59.99,2023-12-26,,False,low
89,2023-12-21,UK,Referral,2199.7799999999997,0.0,Pro,59.99,2023-12-21,2024-09-10,True,low
90,2022-12-04,Germany,Google Ads,2199.7799999999997,0.0,Basic,29.99,2022-12-04,,False,low
91,2022-02-22,Canada,Referral,59.99,0.0,Basic,29.99,2022-02-22,,False,high
92,2022-08-05,France,Referral,2399.7599999999998,0.0,Basic,29.99,2022-08-05,,False,low
93,2022-07-07,Canada,LinkedIn,2399.7599999999998,0.0,Premium,99.99,2022-07-07,,False,low
94,2023-01-15,France,LinkedIn,2399.7599999999998,0.0,Pro,59.99,2023-01-15,,False,low
95,2023-05-08,France,Google Ads,2399.7599999999998,0.0,Basic,29.99,2023-05-08,,False,low
96,2022-02-10,USA,Google Ads,2399.7599999999998,0.0,Premium,99.99,2022-02-10,,False,low
97,2022-06-06,UK,Organic,2399.7599999999998,0.0,Basic,29.99,2022-06-06,2023-11-18,True,low
98,2022-01-15,Canada,Referral,2399.7599999999998,0.0,Premium,99.99,2022-01-15,,False,low
99,2022-03-06,France,Organic,2399.7599999999998,0.0,Premium,99.99,2022-03-06,2023-08-16,True,low
100,2023-06-05,Canada,Google Ads,2399.7599999999998,0.0,Basic,29.99,2023-06-05,,False,low
101,2022-12-10,Canada,Referral,2399.7599999999998,0.0,Pro,59.99,2022-12-10,,False,low
102,2022-05-09,France,Referral,2399.7599999999998,0.0,Basic,29.99,2022-05-09,2023-06-16,True,low
103,2023-10-10,Germany,Organic,2399.7599999999998,0.0,Basic,29.99,2023-10-10,,False,low
104,2023-04-17,UK,Google Ads,2399.7599999999998,1.0,Basic,29.99,2023-04-17,,False,low
105,2022-03-04,UK,Google Ads,2399.7599999999998,0.0,Pro,59.99,2022-03-04,,False,low
106,2022-05-19,USA,Referral,2399.7599999999998,0.0,Premium,99.99,2022-05-19,,False,low
107,2023-05-14,USA,Organic,2399.7599999999998,0.0,Premium,99.99,2023-05-14,,False,low
108,2023-08-16,USA,Organic,2399.7599999999998,1.0,Pro,59.99,2023-08-16,,False,low
109,2023-01-27,UK,Organic,2399.7599999999998,0.0,Pro,59.99,2023-01-27,,False,low
110,2023-11-06,Germany,Organic,2399.7599999999998,0.0,Pro,59.99,2023-11-06,,False,low
111,2023-02-23,UK,Google Ads,2399.7599999999998,0.0,Basic,29.99,2023-02-23,,False,low
112,2022-10-16,UK,Google Ads,2399.7599999999998,0.0,Pro,59.99,2022-10-16,2023-11-27,True,low
113,2023-01-14,UK,Google Ads,2399.7599999999998,0.0,Basic,29.99,2023-01-14,,False,low
114,2023-05-05,UK,Google Ads,2399.7599999999998,0.0,Premium,99.99,2023-05-05,,False,low
115,2022-08-19,Germany,Organic,2399.7599999999998,0.0,Premium,99.99,2022-08-19,,False,low
116,2022-02-10,USA,Organic,119.96,0.0,Basic,29.99,2022-02-10,2023-09-29,True,high
117,2022-01-28,Canada,Google Ads,119.96,1.0,Pro,59.99,2022-01-28,2023-07-10,True,high
118,2022-05-15,USA,LinkedIn,119.96,0.0,Basic,29.99,2022-05-15,,False,high
119,2022-07-20,USA,Organic,119.96,0.0,Basic,29.99,2022-07-20,,False,high
120,2022-02-02,Canada,Referral,599.8,0.0,Pro,59.99,2022-02-02,,False,medium
121,2022-02-17,UK,Google Ads,599.8,0.0,Premium,99.99,2022-02-17,,False,medium
122,2023-05-18,Germany,Referral,599.8,0.0,Pro,59.99,2023-05-18,,False,medium
123,2023-02-11,Germany,Google Ads,599.8,0.0,Pro,59.99,2023-02-11,,False,medium
124,2023-07-28,USA,Referral,599.8,0.0,Basic,29.99,2023-07-28,,False,medium
125,2023-12-29,Canada,Referral,599.8,0.0,Basic,29.99,2023-12-29,,False,medium
126,2022-04-09,France,Google Ads,599.8,0.0,Premium,99.99,2022-04-09,,False,medium
127,2023-11-15,UK,Organic,599.8,0.0,Pro,59.99,2023-11-15,2024-10-23,True,medium
128,2023-12-27,USA,Referral,599.8,0.0,Basic,29.99,2023-12-27,,False,medium
129,2023-07-01,Germany,Referral,599.8,0.0,Premium,99.99,2023-07-01,2024-07-30,True,medium
130,2023-09-05,Canada,Organic,599.8,0.0,Basic,29.99,2023-09-05,,False,medium
131,2023-04-07,Canada,Google Ads,599.8,0.0,Basic,29.99,2023-04-07,,False,medium
132,2023-10-05,USA,Google Ads,599.8,0.0,Premium,99.99,2023-10-05,2024-05-27,True,medium
133,2022-01-05,France,Organic,599.8,0.0,Pro,59.99,2022-01-05,,False,medium
134,2022-08-06,Germany,Google Ads,599.8,0.0,Basic,29.99,2022-08-06,,False,medium
135,2023-05-18,USA,LinkedIn,599.8,0.0,Premium,99.99,2023-05-18,,False,medium
136,2023-02-02,France,Google Ads,599.8,0.0,Pro,59.99,2023-02-02,,False,medium
137,2023-01-28,Canada,Google Ads,599.8,1.0,Pro,59.99,2023-01-28,,False,medium
138,2022-07-26,UK,Referral,599.8,1.0,Premium,99.99,2022-07-26,2023-09-26,True,medium
139,2022-01-15,Germany,Google Ads,599.8,1.0,Pro,59.99,2022-01-15,,False,medium
140,2023-07-08,Germany,LinkedIn,269.90999999999997,1.0,Basic,29.99,2023-07-08,,False,high
141,2023-04-06,France,LinkedIn,269.90999999999997,0.0,Basic,29.99,2023-04-06,,False,high
142,2023-11-22,USA,Organic,269.90999999999997,0.0,Basic,29.99,2023-11-22,,False,high
143,2023-07-29,Canada,LinkedIn,269.90999999999997,0.0,Premium,99.99,2023-07-29,,False,high
144,2022-08-29,France,Google Ads,269.90999999999997,0.0,Pro,59.99,2022-08-29,2023-06-23,True,high
145,2023-07-18,UK,Organic,269.90999999999997,0.0,Basic,29.99,2023-07-18,,False,high
146,2022-04-06,UK,LinkedIn,269.90999999999997,0.0,Premium,99.99,2022-04-06,,False,high
147,2023-04-30,UK,LinkedIn,269.90999999999997,0.0,Premium,99.99,2023-04-30,,False,high
148,2023-02-11,France,Organic,269.90999999999997,0.0,Basic,29.99,2023-02-11,,False,high
149,2022-08-19,Canada,Referral,239.96,0.0,Pro,59.99,2022-08-19,,False,high
150,2023-10-17,Germany,Referral,239.96,1.0,Pro,59.99,2023-10-17,,False,high
151,2022-06-20,USA,LinkedIn,239.96,0.0,Premium,99.99,2022-06-20,,False,high
152,2023-06-25,Germany,Google Ads,239.96,0.0,Pro,59.99,2023-06-25,2024-05-12,True,high
153,2022-02-05,Canada,Google Ads,1399.86,0.0,Basic,29.99,2022-02-05,,False,low
154,2023-06-09,Germany,LinkedIn,1399.86,0.0,Basic,29.99,2023-06-09,2024-06-27,True,low
155,2022-06-09,France,Google Ads,1399.86,0.0,Basic,29.99,2022-06-09,,False,low
156,2023-11-30,UK,Google Ads,1399.86,0.0,Basic,29.99,2023-11-30,,False,low
157,2022-08-31,Canada,Google Ads,1399.86,0.0,Basic,29.99,2022-08-31,,False,low
158,2022-03-27,Canada,LinkedIn,1399.86,1.0,Premium,99.99,2022-03-27,,False,low
159,2023-08-01,Germany,Google Ads,1399.86,0.0,Basic,29.99,2023-08-01,,False,low
160,2023-11-13,France,LinkedIn,1399.86,0.0,Pro,59.99,2023-11-13,,False,low
161,2023-07-11,Germany,Google Ads,1399.86,0.0,Pro,59.99,2023-07-11,,False,low
162,2023-07-28,Germany,Referral,1399.86,0.0,Premium,99.99,2023-07-28,,False,low
163,2023-10-08,Canada,Referral,1399.86,0.0,Basic,29.99,2023-10-08,2025-05-10,True,low
164,2022-01-28,Germany,LinkedIn,1399.86,0.0,Premium,99.99,2022-01-28,,False,low
165,2023-09-12,UK,Google Ads,1399.86,0.0,Basic,29.99,2023-09-12,,False,low
166,2023-07-10,Germany,Organic,1399.86,1.0,Pro,59.99,2023-07-10,2024-06-15,True,low
167,2022-12-06,UK,Organic,899.91,0.0,Basic,29.99,2022-12-06,,False,medium
168,2022-11-27,Canada,Organic,899.91,1.0,Basic,29.99,2022-11-27,,False,medium
169,2023-10-02,France,Organic,899.91,0.0,Basic,29.99,2023-10-02,,False,medium
170,2023-05-21,UK,Referral,899.91,0.0,Pro,59.99,2023-05-21,,False,medium
171,2022-12-14,France,Referral,899.91,0.0,Pro,59.99,2022-12-14,,False,medium
172,2023-04-18,France,LinkedIn,899.91,0.0,Basic,29.99,2023-04-18,,False,medium
173,2022-08-19,UK,LinkedIn,899.91,0.0,Basic,29.99,2022-08-19,,False,medium
174,2022-07-09,Canada,Organic,899.91,0.0,Basic,29.99,2022-07-09,,False,medium
175,2022-08-13,USA,LinkedIn,899.91,0.0,Pro,59.99,2022-08-13,2023-03-31,True,medium
176,2023-01-20,France,Organic,1079.82,1.0,Basic,29.99,2023-01-20,2023-11-25,True,low
177,2023-01-12,France,Google Ads,1079.82,0.0,Basic,29.99,2023-01-12,,False,low
178,2022-10-10,Canada,Organic,1079.82,0.0,Basic,29.99,2022-10-10,,False,low
179,2023-09-25,Canada,LinkedIn,1079.82,0.0,Premium,99.99,2023-09-25,2024-04-08,True,low
180,2023-09-20,Germany,LinkedIn,1079.82,0.0,Basic,29.99,2023-09-20,2024-07-09,True,low
181,2022-09-16,Canada,Google Ads,1079.82,0.0,Basic,29.99,2022-09-16,,False,low
182,2022-12-25,France,LinkedIn,1079.82,0.0,Basic,29.99,2022-12-25,2024-04-28,True,low
183,2023-12-11,UK,Organic,1079.82,0.0,Basic,29.99,2023-12-11,,False,low
184,2023-04-01,USA,Google Ads,1079.82,0.0,Pro,59.99,2023-04-01,,False,low
185,2023-02-15,Germany,LinkedIn,1079.82,0.0,Basic,29.99,2023-02-15,,False,low
186,2023-10-11,UK,Google Ads,1079.82,0.0,Basic,29.99,2023-10-11,,False,low
187,2022-11-14,USA,Organic,1079.82,0.0,Basic,29.99,2022-11-14,,False,low
188,2023-11-08,USA,Referral,1079.82,0.0,Basic,29.99,2023-11-08,2025-04-12,True,low
189,2022-08-13,USA,Google Ads,1079.82,1.0,Basic,29.99,2022-08-13,,False,low
190,2022-08-22,UK,Google Ads,1079.82,1.0,Pro,59.99,2022-08-22,2023-05-04,True,low
191,2023-11-15,Germany,LinkedIn,1079.82,1.0,Basic,29.99,2023-11-15,2024-02-29,True,low
192,2023-10-26,Germany,Google Ads,1079.82,0.0,Basic,29.99,2023-10-26,,False,low
193,2023-01-09,USA,LinkedIn,1079.82,0.0,Basic,29.99,2023-01-09,,False,low
194,2023-11-03,UK,Organic,1079.82,0.0,Basic,29.99,2023-11-03,,False,low
195,2023-08-31,USA,Organic,269.90999999999997,0.0,Basic,29.99,2023-08-31,2024-09-09,True,high
196,2023-04-17,Canada,Google Ads,269.90999999999997,0.0,Basic,29.99,2023-04-17,2024-02-25,True,high
197,2022-08-21,Germany,Organic,269.90999999999997,0.0,Premium,99.99,2022-08-21,,False,high
198,2023-11-23,France,LinkedIn,269.90999999999997,0.0,Basic,29.99,2023-11-23,,False,high
199,2022-04-23,USA,Google Ads,269.90999999999997,0.0,Pro,59.99,2022-04-23,,False,high
200,2023-05-12,Canada,Google Ads,269.90999999999997,0.0,Basic,29.99,2023-05-12,2024-04-18,True,high
201,2023-03-18,Germany,Google Ads,269.90999999999997,0.0,Pro,59.99,2023-03-18,,False,high
202,2023-07-18,UK,Organic,269.90999999999997,1.0,Pro,59.99,2023-07-18,,False,high
203,2022-09-25,Germany,Google Ads,269.90999999999997,1.0,Pro,59.99,2022-09-25,,False,high
204,2023-05-25,UK,Google Ads,399.96,1.0,Pro,59.99,2023-05-25,,False,high
205,2023-01-21,UK,LinkedIn,399.96,0.0,Basic,29.99,2023-01-21,2023-09-04,True,high
206,2023-01-22,USA,Referral,399.96,0.0,Premium,99.99,2023-01-22,2024-01-04,True,high
207,2022-04-23,USA,LinkedIn,399.96,0.0,Pro,59.99,2022-04-23,,False,high
208,2023-09-05,Germany,LinkedIn,89.97,0.0,Basic,29.99,2023-09-05,,False,high
209,2023-09-17,Canada,Google Ads,89.97,0.0,Premium,99.99,2023-09-17,2024-02-10,True,high
210,2022-03-22,Germany,Organic,89.97,0.0,Pro,59.99,2022-03-22,,False,high
211,2023-11-30,France,Google Ads,1139.81,2.0,Pro,59.99,2023-11-30,,False,low
212,2022-04-23,UK,Referral,1139.81,2.0,Basic,29.99,2022-04-23,,False,low
213,2022-01-02,UK,LinkedIn,1139.81,2.0,Pro,59.99,2022-01-02,,False,low
214,2023-10-04,USA,Google Ads,1139.81,0.0,Basic,29.99,2023-10-04,,False,low
215,2022-08-08,Canada,Organic,1139.81,0.0,Premium,99.99,2022-08-08,,False,low
216,2023-07-20,USA,Referral,1139.81,0.0,Pro,59.99,2023-07-20,,False,low
217,2022-08-13,France,Google Ads,1139.81,0.0,Premium,99.99,2022-08-13,,False,low
218,2023-01-20,Germany,Organic,1139.81,1.0,Basic,29.99,2023-01-20,,False,low
219,2023-02-07,Germany,Referral,1139.81,1.0,Basic,29.99,2023-02-07,,False,low
220,2023-09-30,Canada,LinkedIn,1139.81,0.0,Premium,99.99,2023-09-30,,False,low
221,2022-05-10,USA,Referral,1139.81,0.0,Premium,99.99,2022-05-10,,False,low
222,2022-02-22,USA,Organic,1139.81,1.0,Basic,29.99,2022-02-22,,False,low
223,2023-11-15,France,Google Ads,1139.81,0.0,Basic,29.99,2023-11-15,,False,low
224,2023-12-31,Germany,Google Ads,1139.81,0.0,Pro,59.99,2023-12-31,2024-11-09,True,low
225,2023-11-03,USA,Referral,1139.81,0.0,Basic,29.99,2023-11-03,,False,low
226,2023-12-11,Canada,Google Ads,1139.81,0.0,Basic,29.99,2023-12-11,,False,low
227,2023-02-20,Germany,LinkedIn,1139.81,1.0,Premium,99.99,2023-02-20,,False,low
228,2022-09-04,France,Google Ads,1139.81,0.0,Pro,59.99,2022-09-04,,False,low
229,2023-03-15,Canada,Google Ads,1139.81,0.0,Premium,99.99,2023-03-15,,False,low
230,2022-07-22,UK,Google Ads,1139.81,0.0,Basic,29.99,2022-07-22,,False,low
231,2022-07-03,France,LinkedIn,299.96999999999997,0.0,Basic,29.99,2022-07-03,2023-09-12,True,high
232,2022-05-03,Canada,Organic,299.96999999999997,0.0,Basic,29.99,2022-05-03,,False,high
233,2023-02-05,USA,Google Ads,299.96999999999997,0.0,Premium,99.99,2023-02-05,2023-11-28,True,high
234,2022-10-21,UK,Referral,1399.86,0.0,Pro,59.99,2022-10-21,,False,low
235,2022-10-07,France,Google Ads,1399.86,0.0,Pro,59.99,2022-10-07,,False,low
236,2023-09-02,USA,LinkedIn,1399.86,1.0,Pro,59.99,2023-09-02,,False,low
237,2022-07-17,UK,Google Ads,1399.86,1.0,Basic,29.99,2022-07-17,,False,low
238,2023-05-26,Germany,Referral,1399.86,1.0,Basic,29.99,2023-05-26,,False,low
239,2022-05-24,USA,LinkedIn,1399.86,0.0,Basic,29.99,2022-05-24,2023-12-03,True,low
240,2023-09-01,Canada,Organic,1399.86,1.0,Pro,59.99,2023-09-01,2024-12-07,True,low
241,2022-07-20,France,Google Ads,1399.86,1.0,Premium,99.99,2022-07-20,,False,low
242,2022-05-04,UK,LinkedIn,1399.86,0.0,Basic,29.99,2022-05-04,,False,low
243,2022-07-06,USA,Referral,1399.86,0.0,Basic,29.99,2022-07-06,2024-01-01,True,low
244,2022-11-22,Germany,Organic,1399.86,1.0,Pro,59.99,2022-11-22,,False,low
245,2023-04-09,France,Google Ads,1399.86,1.0,Pro,59.99,2023-04-09,,False,low
246,2022-12-15,France,Google Ads,1399.86,0.0,Basic,29.99,2022-12-15,,False,low
247,2023-10-22,USA,Organic,1399.86,0.0,Basic,29.99,2023-10-22,,False,low
248,2023-02-07,Germany,Google Ads,389.87,0.0,Pro,59.99,2023-02-07,,False,high
249,2022-12-12,UK,Google Ads,389.87,0.0,Basic,29.99,2022-12-12,,False,high
250,2023-05-26,USA,Google Ads,389.87,0.0,Pro,59.99,2023-05-26,,False,high
251,2022-05-27,UK,Organic,389.87,0.0,Premium,99.99,2022-05-27,,False,high
252,2022-05-28,France,Google Ads,389.87,0.0,Basic,29.99,2022-05-28,2023-08-11,True,high
253,2023-12-12,UK,Organic,389.87,0.0,Premium,99.99,2023-12-12,,False,high
254,2023-05-04,Germany,Referral,389.87,0.0,Basic,29.99,2023-05-04,,False,high
255,2023-10-02,Canada,Google Ads,389.87,0.0,Basic,29.99,2023-10-02,,False,high
256,2023-07-05,Germany,Referral,389.87,0.0,Pro,59.99,2023-07-05,2025-01-11,True,high
257,2022-12-04,UK,Google Ads,389.87,0.0,Pro,59.99,2022-12-04,2023-06-17,True,high
258,2023-10-03,USA,LinkedIn,389.87,0.0,Premium,99.99,2023-10-03,,False,high
259,2023-04-18,France,LinkedIn,389.87,0.0,Basic,29.99,2023-04-18,2024-05-21,True,high
260,2022-05-31,Canada,Referral,389.87,0.0,Basic,29.99,2022-05-31,,False,high
261,2023-02-19,USA,Google Ads,479.92,0.0,Basic,29.99,2023-02-19,,False,high
262,2022-10-25,USA,LinkedIn,479.92,1.0,Premium,99.99,2022-10-25,,False,high
263,2023-09-03,Germany,Organic,479.92,0.0,Basic,29.99,2023-09-03,,False,high
264,2022-09-20,UK,LinkedIn,479.92,0.0,Basic,29.99,2022-09-20,,False,high
265,2022-05-24,Germany,Organic,479.92,0.0,Premium,99.99,2022-05-24,,False,high
266,2022-12-12,UK,Google Ads,479.92,0.0,Premium,99.99,2022-12-12,2023-05-29,True,high
267,2023-09-16,Germany,Organic,479.92,0.0,Premium,99.99,2023-09-16,2024-01-20,True,high
268,2023-07-26,USA,Google Ads,479.92,0.0,Premium,99.99,2023-07-26,,False,high
269,2022-01-02,France,Google Ads,659.89,1.0,Premium,99.99,2022-01-02,2022-12-10,True,medium
270,2022-10-31,UK,Organic,659.89,1.0,Basic,29.99,2022-10-31,,False,medium
271,2022-09-11,Canada,Organic,659.89,1.0,Basic,29.99,2022-09-11,,False,medium
272,2023-10-14,Canada,LinkedIn,659.89,1.0,Pro,59.99,2023-10-14,,False,medium
273,2023-03-29,USA,Google Ads,659.89,1.0,Basic,29.99,2023-03-29,,False,medium
274,2022-02-06,Germany,Google Ads,659.89,0.0,Premium,99.99,2022-02-06,,False,medium
275,2022-06-09,Germany,Referral,659.89,0.0,Premium,99.99,2022-06-09,,False,medium
276,2022-01-09,USA,Organic,659.89,0.0,Basic,29.99,2022-01-09,2023-04-14,True,medium
277,2022-08-21,Canada,Google Ads,659.89,0.0,Premium,99.99,2022-08-21,,False,medium
278,2022-04-09,Canada,Organic,659.89,2.0,Premium,99.99,2022-04-09,2022-08-30,True,medium
279,2023-10-21,Germany,Google Ads,659.89,2.0,Basic,29.99,2023-10-21,,False,medium
280,2022-07-27,UK,Organic,359.88,1.0,Pro,59.99,2022-07-27,,False,high
281,2022-05-11,France,Organic,359.88,1.0,Pro,59.99,2022-05-11,,False,high
282,2023-02-08,UK,Referral,359.88,1.0,Basic,29.99,2023-02-08,,False,high
283,2022-06-01,Canada,Google Ads,359.88,0.0,Basic,29.99,2022-06-01,,False,high
284,2022-02-23,UK,Organic,359.88,0.0,Basic,29.99,2022-02-23,2023-06-14,True,high
285,2022-04-30,France,Referral,359.88,0.0,Basic,29.99,2022-04-30,2023-08-11,True,high
